Duration,Mem,Cpu
62,714076160,4
62,714596352,4
62,713244672,4
62,713637888,4
62,713256960,4
61,713289728,4
61,716103680,4
61,715866112,4
61,714985472,4
61,714719232,4
61,713969664,4
61,714477568,4
61,713703424,4
61,713736192,4
61,713232384,4
61,713359360,4
61,713117696,4
61,713637888,4
60,714010624,4
60,712380416,4
60,713289728,4
60,716730368,4
60,716476416,4
60,716099584,4
60,715239424,4
60,714862592,4
60,714350592,4
60,713990144,4
60,713609216,4
60,713498624,4
60,712986624,4
60,713117696,4
60,713396224,4
60,713396224,4
60,712892416,4
59,715108352,4
59,712495104,4
59,716226560,4
59,715612160,4
59,715489280,4
59,715239424,4
59,714596352,4
59,714600448,4
59,714223616,4
59,713736192,4
59,713498624,4
59,713244672,4
59,712978432,4
59,713256960,4
59,713396224,4
59,713015296,4
58,713891840,4
58,713416704,4
58,715235328,4
58,714350592,4
58,714350592,4
58,714469376,4
58,714346496,4
58,714350592,4
58,712863744,4
58,713523200,4
57,713568256,4
57,713162752,4
57,714346496,4
57,714346496,4
57,713977856,4
57,713863168,4
57,713760768,4
57,713633792,4
57,713396224,4
56,713764864,4
56,713297920,4
56,713977856,4
56,713977856,4
56,713728000,4
56,713232384,4
56,713396224,4
55,713416704,4
55,716230656,4
55,714862592,4
55,714350592,4
55,714215424,4
55,714240000,4
55,713224192,4
55,713371648,4
54,714600448,4
54,713764864,4
54,712503296,4
54,712126464,4
54,713416704,4
54,716730368,4
54,716242944,4
54,715608064,4
54,715739136,4
54,714985472,4
54,714579968,4
54,714862592,4
54,714600448,4
54,714600448,4
54,713478144,4
54,713760768,4
54,714014720,4
54,713633792,4
53,714575872,4
53,715108352,4
53,712630272,4
53,716361728,4
53,716234752,4
53,715608064,4
53,715739136,4
53,715108352,4
53,714342400,4
53,713396224,4
53,713531392,4
52,714170368,4
52,713265152,4
52,714350592,4
52,714600448,4
52,714600448,4
52,714215424,4
52,713736192,4
52,713359360,4
51,711110656,4
51,715608064,4
51,715735040,4
51,714596352,4
51,714215424,4
51,714727424,4
51,714600448,4
51,714346496,4
51,713351168,4
51,713633792,4
51,713510912,4
50,713162752,4
50,713416704,4
50,716730368,4
50,715866112,4
50,715227136,4
50,714989568,4
50,714342400,4
50,714600448,4
50,714113024,4
50,713863168,4
50,713486336,4
50,713371648,4
50,713383936,4
50,713383936,4
50,713269248,4
49,713289728,4
49,713416704,4
49,716603392,4
49,715231232,4
49,715481088,4
49,714727424,4
49,714350592,4
49,714723328,4
49,713981952,4
49,713863168,4
48,712884224,4
48,711245824,4
48,713416704,4
48,716603392,4
48,715612160,4
48,715235328,4
48,715366400,4
48,715239424,4
48,714350592,4
48,714469376,4
48,714211328,4
48,714350592,4
48,714350592,4
48,713977856,4
48,713990144,4
47,716603392,4
47,715735040,4
47,715231232,4
47,715489280,4
47,715112448,4
47,713236480,4
47,713510912,4
46,712876032,4
46,715608064,4
46,715476992,4
46,714604544,4
46,713990144,4
46,713609216,4
46,713371648,4
46,713498624,4
46,713244672,4
46,713396224,4
45,712503296,4
45,711245824,4
45,716730368,4
45,716369920,4
45,715583488,4
45,715608064,4
45,715485184,4
45,715108352,4
45,715366400,4
45,715112448,4
45,714215424,4
45,714096640,4
45,714223616,4
45,713990144,4
45,713605120,4
45,713244672,4
45,712990720,4
44,713289728,4
44,713289728,4
44,716099584,4
44,715231232,4
44,715362304,4
44,715489280,4
44,715235328,4
44,714727424,4
44,714342400,4
44,714215424,4
44,714240000,4
44,713359360,4
44,713359360,4
44,713342976,4
44,713244672,4
44,713375744,4
44,713383936,4
44,713248768,4
44,713396224,4
43,713949184,4
43,713764864,4
43,711237632,4
43,715988992,4
43,715739136,4
43,714473472,4
43,714223616,4
43,713728000,4
43,712863744,4
42,714600448,4
42,713408512,4
42,716230656,4
42,714702848,4
42,714469376,4
42,714719232,4
42,713486336,4
42,713351168,4
41,715608064,4
41,715612160,4
41,714858496,4
41,714862592,4
41,714223616,4
41,713854976,4
40,713289728,4
40,716595200,4
40,716103680,4
40,715976704,4
40,716369920,4
40,715366400,4
40,715239424,4
40,714735616,4
40,714846208,4
40,714596352,4
40,714600448,4
40,714346496,4
40,713969664,4
40,714350592,4
40,713863168,4
40,713510912,4
40,713256960,4
40,713129984,4
40,713396224,4
39,712376320,4
39,712126464,4
39,716476416,4
39,715358208,4
39,715362304,4
39,715489280,4
39,714989568,4
39,714735616,4
39,714727424,4
39,714727424,4
39,714342400,4
39,714223616,4
39,714096640,4
39,713633792,4
39,713523200,4
